DIA.," ""SHANK DIA."""," ""STOCK #"""
"9/16\"", 3/8\"""""," ""CHC74450""",
"5/8\"", 3/8\"""""," ""CHC74451""",
"11/16\"", 3/8\"""""," ""CHC74452""",
"3/4\"", 3/8\"""""," ""CHC74453""",
"13/16\"", 3/8\"""""," ""CHC74454""",
"7/8\"", 3/8\"""""," ""CHC74455""",
"15/16\"", 3/8\"""""," ""CHC74456""",
"1\"", 3/8\"""""," ""CHC74457""",
"1-1/16\"", 3/8\"""""," ""CHC74458""",
"1-1/8\"", 3/8\"""""," ""CHC74459""",
"1-3/16\"", 3/8\"""""," ""CHC74460""",
"1-1/4\"", 3/8\"""""," ""CHC74461""",
"1-5/16\"", 3/8\"""""," ""CHC74462""",
"1-3/8\"", 3/8\"""""," ""CHC74463""",
"1-7/16\"", 3/8\"""""," ""CHC74464""",
"1-1/2\"", 3/8\"""""," ""CHC74465""",
"1-9/16\"", 3/8\"""""," ""CHC74466""",
"1-5/8\"", 3/8\"""""," ""CHC74467""",
"1-11/16\"", 3/8\"""""," ""CHC74468""",
"1-3/4\"", 3/8\"""""," ""CHC74469""",
"1-13/16\"", 3/8\"""""," ""CHC74470""",
"1-7/8\"", 3/8\"""""," ""CHC74471""",
"1-15/16\"", 3/8\"""""," ""CHC74472""",
"2\"", 1/2\"""""," ""CHC74473""",
"2-1/8\"", 1/2\"""""," ""CHC74475""",
"2-1/4\"", 1/2\"""""," ""CHC74477""",
"2-3/8\"", 1/2\"""""," ""CHC74479""",
"2-1/2\"", 1/2\"""""," ""CHC74481""",
"2-5/8\"", 1/2\"""""," ""CHC74483""",
"2-3/4\"", 1/2\"""""," ""CHC74485""",
"2-7/8\"", 1/2\"""""," ""CHC74487""",
"3\"", 1/2\"""""," ""CHC74489""",
