Size,Threads per Inch,Length of Thread,Overall Length,Stock #,Stock #.1
"1/16""",27,"11/16""",4,HSNPT170301,HSNPT270301
"1/8""",27,"3/4""",4,HSNPT170302,HSNPT270302
"1/4""",18,"1-1/16""",4,HSNPT170303,HSNPT270303
"3/8""",18,"1-1/16""",4,HSNPT170304,HSNPT270304
"1/2""",14,"1-3/8""",4,HSNPT170305,HSNPT270305
"3/4""",14,"1-3/8""",5,HSNPT170306,HSNPT270306
"1""",11-1/2,"1-3/4""",5,HSNPT170307,HSNPT270307
"1-1/4""",11-1/2,"1-3/4""",5,HSNPT170308,HSNPT270308
"1-1/2""",11-1/2,"1-3/4""",7,HSNPT170309,HSNPT270309
"2""",11-1/2,"1-3/4""",7,HSNPT170310,HSNPT270310
"2-1/2""",8,"2-9/16""",8,—,HSNPT270311
"3""",8,"2-5/8""",8,—,HSNPT270312
"3-1/2""",8,"2-11/16""",8,—,HSNPT270313
"4""",8,"2-3/4""",8,—,HSNPT270314
