TH," ""S"""," ""R"""," ""IZ"""," ""E"""," ""E"".1"," ""AD TP I"""," ""BULK CARDED"""
" ""4"""," ""40"""," ""CSHD70859"""," ""CSHD70859C"""," ""3"""," ""0.50"""," ""MHD71010"""," ""MHD71010C"""
" ""5"""," ""40"""," ""CSHD70860"""," ""CSHD70860C"""," ""3"""," ""0.60"""," ""MHD71011"""," ""MHD71011C"""
" ""5"""," ""44"""," ""CSHD70860A"""," ""CSHD70860AC"""," ""4"""," ""0.50"""," ""MHD71012"""," ""MHD71012C"""
" ""6"""," ""32"""," ""CSHD70861"""," ""CSHD70861C"""," ""4"""," ""0.70"""," ""MHD71013"""," ""MHD71013C"""
" ""6"""," ""40"""," ""CSHD70861A"""," ""CSHD70861AC"""," ""5"""," ""0.80"""," ""MHD71014"""," ""MHD71014C"""
" ""8"""," ""32"""," ""CSHD70862"""," ""CSHD70862C"""," ""5"""," ""0.90"""," ""MHD71015"""," ""MHD71015C"""
" ""8"""," ""36"""," ""CSHD70862A"""," ""CSHD70862AC"""," ""6"""," ""1.00"""," ""MHD71016"""," ""MHD71016C"""
" ""10"""," ""24"""," ""CSHD70863"""," ""CSHD70863C"""," ""7"""," ""1.00"""," ""MHD71017"""," ""MHD71017C"""
" ""10"""," ""32"""," ""CSHD70864"""," ""CSHD70864C"""," ""8"""," ""1.00"""," ""MHD71018"""," ""MHD71018C"""
" ""12"""," ""24"""," ""CSHD70865"""," ""CSHD70865C"""," ""8"""," ""1.25"""," ""MHD71019"""," ""MHD71019C"""
" """""," ""CSHD70866"""," ""CSHD70866C"""," ""9"""," ""0.75"""," ""MHD71020"""," ""MHD71020C""",
" """""," ""CSHD70867"""," ""CSHD70867C"""," ""9"""," ""1.00"""," ""MHD71021"""," ""MHD71021C""",
" """""," ""CSHD70868"""," ""CSHD70868C"""," ""9"""," ""1.25"""," ""MHD71022"""," ""MHD71022C""",
" """""," ""CSHD70869"""," ""CSHD70869C"""," ""10"""," ""1.00"""," ""MHD71023"""," ""MHD71023C""",
" """""," ""CSHD70870"""," ""CSHD70870C"""," ""10"""," ""1.25"""," ""MHD71024"""," ""MHD71024C""",
" """""," ""CSHD70871"""," ""CSHD70871C"""," ""10"""," ""1.50"""," ""MHD71025"""," ""MHD71025C""",
" """""," ""CSHD70872"""," ""CSHD70872C"""," ""11"""," ""1.50"""," ""MHD71026"""," ""MHD71026C""",
" """""," ""CSHD70873"""," ""CSHD70873C"""," ""12"""," ""1.25"""," ""MHD71027"""," ""MHD71027C""",
" """""," ""CSHD70874"""," ""CSHD70874C"""," ""12"""," ""1.50"""," ""MHD71028"""," ""MHD71028C""",
" """""," ""CSHD70875"""," ""CSHD70875C"""," ""12"""," ""1.75"""," ""MHD71029"""," ""MHD71029C""",
" """""," ""CSHD70891"""," ""CSHD70891C"""," """""," """""," """""," """"",
" """""," ""CSHD70893"""," ""CSHD70893C"""," """""," """""," """""," """"",
" """""," """""," """""," """""," """""," """""," """"",
" """""," ""CSHD70892"""," ""CSHD70892C"""," """""," """""," """""," """"",
" """""," ""CSHD70894"""," ""CSHD70894C"""," """""," """""," """""," """"",
" """""," ""CSHD70880"""," ""CSHD70880C"""," ""14"""," ""1.25"""," ""MHD71029A"""," """"",
" """""," ""CSHD70881"""," ""CSHD70881C"""," ""14"""," ""1.50"""," ""MHD71030"""," """"",
" """""," ""CSHD70882"""," ""CSHD70882C"""," ""16"""," ""1.25"""," ""MHD71032"""," """"",
" """""," ""CSHD70883"""," ""CSHD70883C"""," ""16"""," ""1.50"""," ""MHD71033"""," """"",
" """""," ""CSHD70884"""," ""CSHD70884C"""," ""16"""," ""2.00"""," ""MHD71034"""," """"",
" """""," ""CSHD70885"""," ""CSHD70885C"""," ""18"""," ""1.50"""," ""MHD71035"""," """"",
" """""," ""CSHD70886"""," ""CSHD70886C"""," ""18"""," ""2.00"""," ""MHD71036"""," """"",
" """""," ""CSHD70887"""," ""CSHD70887C"""," ""18"""," ""2.50"""," ""MHD71037"""," """"",
