"MACHINE SCREW, FRACTIONAL & METRIC",STOCK #,4-FLUTE,3-FLUTE,2-FLUTE
#4 (3mm),TE10043,TE10042,,
#5 (1/8) (3.2mm),TE10053,TE10052,,
#6 (3.5mm),TE10064,TE10063,TE10062,
#8 (4mm),TE10084,TE10083,TE10082,
#10 (3/16) (5mm),TE10104,TE10103,TE10102,
#12 (5.5mm),TE10124,TE10123,TE10122,
"1/4\ (6mm)""",TE10254,TE10253,TE10252,
"5/16\ (8mm)""",TE10314,TE10313,TE10312,
"3/8\ (9mm - 10mm)""",TE10374,TE10373,TE10372,
"7/16\ (11mm)""",TE10434,TE10433,TE10432,
"1/2\ (12mm)""",TE10504,TE10503,TE10502,
"9/16\ (14mm)""",TE10564,TE10563,,
"5/8\ (16mm)""",TE10624,TE10623,,
"11/16\ (18mm)""",TE10684,,,
"3/4\ (20mm)""",TE10754,TE10753,,
"7/8\ (22mm)""",TE10874,TE10873,,
"1\ (25mm)""",TE11004,TE11003,,
