DIA.,DIA..1,LENGTH,FLTS,LENGTH.1,ALFA USA
1/8,3/8,3/8,4,2-5/16,DE151401
5/32,3/8,7/16,4,3-1/8,DE151402
7/32,3/8,7/16,4,3-1/8,DE151403
9/32,3/8,11/16,4,3-3/8,DE151404
1/4,3/8,5/8,4,3-3/8,DE151405
9/32,3/8,11/16,4,3-3/8,DE151406
5/16,3/8,3/4,4,3-1/2,DE151407
11/32,3/8,3/4,4,3-1/2,DE151408
3/8,3/8,3/4,4,3-1/2,DE151409
13/32,1/2,1,4,4-1/8,DE151410
7/16,1/2,1,4,4-1/8,DE151411
15/32,1/2,1,4,4-1/8,DE151412
1/2,1/2,1,4,4-1/8,DE151413
9/16,5/8,1-3/8,4,5,DE151414
5/8,5/8,1-3/8,4,5,DE151415
11/16,3/4,1-5/8,4,5-5/8,DE151416
3/4,3/4,1-5/8,4,5-5/8,DE151417
13/16,7/8,1-7/8,4,6-1/8,DE151418
7/8,7/8,1-7/8,4,6-1/8,DE151419
15/16,1,1-7/8,4,6-3/8,DE151420
1,1,1-7/8,4,6-3/8,DE151421
