BORE,HEX,FLUTE,STOCK #,BORE.1,HEX.1,FLUTE.1,STOCK #.1
1/2,5/16,6,AUG61209,9/16,7/16,18.0,AUG61411
9/16,5/16,6,AUG61211,5/8,7/16,18.0,AUG61416
5/8,5/16,6,AUG61216,11/16,7/16,18.0,AUG61421
11/16,5/16,6,AUG61221,3/4,7/16,18.0,AUG61426
3/4,5/16,6,AUG61226,13/16,7/16,18.0,AUG61431
13/16,5/16,6,AUG61231,7/8,7/16,18.0,AUG61436
7/8,7/16,6,AUG61236,15/16,7/16,18.0,AUG61441
15/16,7/16,6,AUG61241,1,7/16,18.0,AUG61446
1,7/16,6,AUG61246,,,,
1-1/8,7/16,6,AUG61251,,,,
1-1/4,7/16,6,AUG61256,,,,
1-3/8,7/16,6,AUG61261,,,,
1-1/2,7/16,6,AUG61266,,,,
