SIZE_MM,DECIMAL EQUIV. ,FLUTE_LENGTH_MM,FLUTE_LENGTH_INCHES,OVERALL_LENGTH_MM,OVERALL_LENGTH_INCHES,ALFA USA STOCK #,ECO PRO STOCK #
0.5,0.0197,5,3/16,22,7/8,MJ151904,MJ251904
0.55,0.0217,6,1/4,25,1,,MJ251905
0.6,0.0236,8,5/16,29,1-1/8,MJ151906,MJ251906
0.65,0.0256,10,3/8,32,1-1/4,,MJ251907
0.7,0.0276,10,3/8,32,1-1/4,MJ151908,MJ251908
0.75,0.0295,13,1/2,35,1-3/8,MJ151909,MJ251909
0.8,0.0315,13,1/2,35,1-3/8,MJ151910,MJ251910
0.85,0.0335,16,5/8,38,1-1/2,MJ151911,MJ251911
0.9,0.0354,16,5/8,38,1-1/2,MJ151912,MJ251912
0.95,0.0374,16,5/8,38,1-1/2,,MJ251913
1,0.0394,18,11/16,41,1-5/8,MJ151914,MJ251914
1.05,0.0413,18,11/16,41,1-5/8,MJ151915,MJ251915
1.1,0.0433,19,3/4,44,1-3/4,MJ151916,MJ251916
1.15,0.0453,19,3/4,44,1-3/4,MJ151917,MJ251917
1.2,0.0472,22,7/8,48,1-7/8,MJ151918,MJ251918
1.25,0.0492,22,7/8,48,1-7/8,MJ151919,MJ251919
1.3,0.0512,22,7/8,48,1-7/8,MJ151920,MJ251920
1.35,0.0531,22,7/8,48,1-7/8,MJ151921,MJ251921
1.4,0.0551,22,7/8,48,1-7/8,MJ151922,MJ251922
1.45,0.0571,22,7/8,48,1-7/8,MJ151923,MJ251923
1.5,0.0591,22,7/8,48,1-7/8,MJ151924,MJ251924
1.55,0.061,22,7/8,48,1-7/8,MJ151925,MJ251925
1.6,0.063,22,7/8,48,1-7/8,MJ151926,MJ251926
1.65,0.065,25,1,51,2,MJ151927,MJ251927
1.7,0.0669,25,1,51,2,MJ151928,MJ251928
1.75,0.0689,25,1,51,2,MJ151929,MJ251929
1.8,0.0709,25,1,51,2,MJ151930,MJ251930
1.85,0.0728,25,1,51,2,MJ151931,MJ251931
1.9,0.0748,25,1,51,2,MJ151932,MJ251932
1.95,0.0768,25,1,51,2,MJ151933,MJ251933
2,0.0787,25,1,51,2,MJ151934,MJ251934
2.05,0.0807,29,1-5/32,54,2-1/8,MJ151935,MJ251935
2.1,0.0827,29,1-5/32,54,2-1/8,MJ151936,MJ251936
2.15,0.0846,29,1-5/32,54,2-1/8,MJ151937,MJ251937
2.2,0.0866,32,1-1/4,57,2-1/4,MJ151938,MJ251938
2.25,0.0886,32,1-1/4,57,2-1/4,,MJ251939
2.3,0.0906,32,1-1/4,57,2-1/4,MJ151940,MJ251940
2.35,0.0925,32,1-1/4,57,2-1/4,,MJ251941
2.4,0.0945,35,1-3/8,60,2-23/64,MJ151942,MJ251942
2.45,0.0965,35,1-3/8,60,2-23/64,,MJ251943
2.5,0.0984,35,1-3/8,60,2-23/64,MJ151944,MJ251944
2.55,0.1003,,,,,MJ251945,
2.6,0.1024,37,1-29/64,64,2-1/2,MJ151946,MJ251946
2.7,0.1063,37,1-29/64,64,2-1/2,MJ151947,MJ251947
2.75,0.1083,38,1-1/2,67,2-5/8,,MJ251948
2.8,0.1102,38,1-1/2,67,2-5/8,MJ151949,MJ251949
2.9,0.1142,41,1-5/8,70,2-3/4,MJ151950,MJ251950
3,0.1181,41,1-5/8,70,2-3/4,MJ151951,MJ251951
3.1,0.122,41,1-5/8,70,2-3/4,MJ151952,MJ251952
3.2,0.126,41,1-5/8,70,2-3/4,MJ151953,MJ251953
3.25,0.128,41,1-5/8,70,2-3/4,MJ151954,MJ251954
3.3,0.1299,45,1-3/4,73,2-7/8,MJ151955,MJ251955
3.4,0.1339,45,1-3/4,73,2-7/8,MJ151956,MJ251956
3.5,0.1378,45,1-3/4,73,2-7/8,MJ151957,MJ251957
3.6,0.1417,48,1-7/8,76,3,MJ151958,MJ251958
3.7,0.1457,48,1-7/8,76,3,MJ151959,MJ251959
3.75,0.1476,48,1-7/8,76,3,MJ151960,MJ251960
3.8,0.1496,48,1-7/8,76,3,MJ151961,MJ251961
3.9,0.1535,51,2,79,3-1/8,MJ151962,MJ251962
4,0.1575,54,2-1/8,83,3-1/4,MJ151963,MJ251963
4.1,0.1614,54,2-1/8,83,3-1/4,MJ151964,MJ251964
