STOCK #,DRILLING DIA.,OAL,DEPTH TUBE,CUTTING HEAD
SDSM62300,"3/8""","7-1/2""","13""",DUO
SDSM62301,"1/2""","7-1/2""","13""",DUO
SDSM62302,"1/2""","12""","17""",DUO
SDSM62303,"1/2""","15-1/2""","21""",DUO
SDSM62305,"9/16""","7-1/2""","13""",DUO
SDSM62307,"9/16""","15-1/2""","21""",DUO
SDSM62309,"5/8""","7-1/2""","13""",QUADRO
SDSM62310,"5/8""","12""","17""",QUADRO
SDSM62311,"5/8""","15-1/2""","21""",QUADRO
SDSM62313,"5/8""","30-1/2""","36""",SDS-Max
SDSM62315,"11/16""","15-1/2""","21""",QUADRO
SDSM62317,"3/4""","7-1/2""","13""",QUADRO
SDSM62318,"3/4""","12""","17""",QUADRO
SDSM62319,"3/4""","17""","21""",QUADRO
SDSM62321,"3/4""","31""","36""",QUADRO
SDSM62322,"13/16""","17""","21""",QUADRO
SDSM62323,"27/32""","17""","21""",QUADRO
SDSM62325,"7/8""","8""","13""",QUADRO
SDSM62326,"7/8""","12""","17""",QUADRO
SDSM62327,"7/8""","17""","21""",QUADRO
SDSM62329,"1""","8""","13""",QUADRO
SDSM62330,"1""","12""","17""",QUADRO
SDSM62331,"1""","17""","21""",QUADRO
SDSM62333,"1""","31""","36""",QUADRO
SDSM62334,"1-1/16""","18""","23""",QUADRO
SDSM62335,"1-1/8""","12""","17""",QUADRO
SDSM62337,"1-1/8""","17""","21""",QUADRO
SDSM62339,"1-1/4""","10""","15""",QUADRO
SDSM62341,"1-1/4""","18""","23""",QUADRO
SDSM62343,"1-1/4""","31""","36""",QUADRO
SDSM62345,"1-3/8""","18""","23""",QUADRO
SDSM62347,"1-1/2""","18""","23""",QUADRO
SDSM62349,"1-3/4""","18""","23""",QUADRO
SDSM62351,"2""","18""","23""",QUADRO
