STOCK #,BOX,LENGTH,SIZE,QTY.,CUT,CUT.1,CUT.2
"6\"",5/8\"" x 5/32\""""",12,F65221,," """""," """"",,
"6\"",5/8\"" x 5/32\""""",12,F65001A,F65006A,F65011A,,,
"8\"",13/16\"" x 7/32\""""",12,F65222,," """""," """"",,
"8\"",13/16\"" x 7/32\""""",12,F65002A,F65007A,F65012A,,,
"10\"",1\"" x 1/4\""""",12,F65223,," """""," """"",,
"10\"",1\"" x 1/4\""""",12,F65003A,F65008A,F65013A,,,
"12\"",1-3/16\"" x 17/64\""""",6,F65224,," """""," """"",,
"12\"",1-3/16\"" x 9/32\""""",6,F65004A,F65009A,F65014A,,,
"14\"",1-3/8\"" x 5/16\""""",6,F65005A,F65010A,,,,
