SIZE,DECIMAL,FLUTE,OVERALL,ALFA USA,STOCK #
1/16,0.0625,5/8,1-5/8,BBSM50201,
5/64,0.0781,11/16,1-11/16,BBSM50202,
3/32,0.0938,3/4,1-3/4,BBSM50203,
7/64,0.1094,13/16,1-13/16,BBSM50204,
1/8,0.125,7/8,1-7/8,BBSM50205,
9/64,0.1406,15/16,1-15/16,BBSM50206,
5/32,0.1562,1,2-1/16,BBSM50207,
11/64,0.1719,1-1/16,2-1/8,BBSM50208,
3/16,0.1875,1-1/8,2-3/16,BBSM50209,
13/64,0.2031,1-3/16,2-1/4,BBSM50210,
7/32,0.2188,1-1/4,2-3/8,BBSM50211,
A 15/64,0.2344,1-5/16,2-7/16,BBSM50212,
1/4,0.25,1-3/8,2-1/2,BBSM50213,
17/64,0.2656,1-7/16,2-5/8,BBSM50214,
9/32,0.2812,1-1/2,2-11/16,BBSM50215,
21/64,0.2969,1-9/16,2-3/4,BBSM50216,
5/16,0.3125,1-5/8,2-13/16,BBSM50217,
23/64,0.3281,1-11/16,2-15/16,BBSM50218,
11/32,0.3438,1-11/16,3,BBSM50219,
25/64,0.3594,1-3/4,3-1/16,BBSM50220,
3/8,0.375,1-13/16,3-1/8,BBSM50221,
27/64,0.3906,1-7/8,3-1/4,BBSM50222,
13/32,0.4062,1-15/16,3-5/16,BBSM50223,
29/64,0.4219,2,3-3/8,BBSM50224,
7/16,0.4375,2-1/16,3-7/16,BBSM50225,
31/64,0.4531,2-1/8,3-9/16,BBSM50226,
15/32,0.4688,2-1/8,3-5/8,BBSM50227,
1/2,0.5,2-1/4,3-3/4,BBSM50228,
