HOLE SIZE,DECIMAL EQUIV.,SHANK SIZE,MINIMUM STARTING HOLE SIZE,FLUTE LENGTH,OVERALL LENGTH,STOCK #
3/8,0.375,3/8,1/4,1-7/8,4-5/16,HED121
1/2,0.5,1/2,5/16,1-7/8,4-5/16,HED129
9/16,0.5625,1/2,3/8,1-7/8,4-5/16,HED133
5/8,0.625,1/2,25/64,1-7/8,4-5/16,HED137
11/16,0.6875,1/2,7/16,1-7/8,4-5/16,HED141
3/4,0.75,1/2,15/32,1-7/8,4-5/16,HED145
13/16,0.8125,1/2,1/2,1-7/8,4-5/16,HED149
7/8,0.875,1/2,17/32,1-7/8,4-5/16,HED153
15/16,0.9375,1/2,9/16,1-7/8,4-5/16,HED157
1,1,1/2,5/8,1-7/8,4-5/16,HED161
1-1/16,1.0625,1/2,21/32,1-7/8,4-5/16,HED165
